[MJ2006] J234251.6-032555.5                   23.7143 -2.56778
[MJ2006] J214751.0+065828.6                   21.7975 6.97472
[MJ2006] J234620.7+092925.1                   23.7724 9.49028
[MJ2006] J101007.0+413210.4                   10.1686 41.5361
[MJ2006] J091959.3+510930.3                   9.33314 51.1583
[MJ2006] J012511.0-000323.7                   1.41972 0.0566667
[MJ2006] J041717.1-055621.0                   4.28808 -4.06083
[MJ2006] J225408.4+160858.4                   22.9023 16.1494
[MJ2006] J012517.9-000550.3                   1.42164 0.0972222
[MJ2006] J101017.1+413131.6                   10.1714 41.5256
[GCH2011] J002427.6+625033.5                  0.407667 62.8426
[MJ2006] J162038.9+173628.7                   16.3441 17.6081
[MJ2006] J012531.8-000911.6                   1.4255 0.153333
[MJ2006] J041703.4-055122.5                   4.28428 -4.14389
[CKG2005] Host G                              12.5652 21.0575
[MJ2006] J234240.7-032217.8                   23.7113 -2.62833
[MJ2006] J101019.1+412933.5                   10.172 41.4928
[TSB2006] 125                                 12.6161 62.2099
[MJ2006] J162023.2+173659.3                   16.3398 17.6164
[MJ2006] J091935.2+510512.0                   9.32644 51.0867
MENeaCS MKW3S-4-14-0                          15.3439 7.6597
[MJ2006] J234647.5+092816.7                   23.7799 9.47139
[MJ2006] J214815.8+065956.3                   21.8044 6.99889
[MJ2006] J171936.2+480311.3                   17.3267 48.0528
[MJ2006] J020210.6-113335.8                   2.03628 -10.44
[MJ2006] J234256.7-032612.2                   23.7158 -2.56333
[MJ2006] J234311.3-032348.5                   23.7198 -2.60333
[MJ2006] J234306.8-032151.0                   23.7186 -2.63583
[MJ2006] J162017.3+173405.0                   16.3381 17.5681
[MJ2006] J234641.2+093223.1                   23.7781 9.53972
[LFR2006] GRB 030115 Host G                   11.3083 15.0383
[MJ2006] J002729.1+223907.5                   0.458083 22.6519
[MJ2006] J234627.5+092733.8                   23.7743 9.45944
[MJ2006] J101040.6+413120.5                   10.1779 41.5225
[MJ2006] J091932.3+510500.1                   9.32564 51.0833
[MJ2006] J101025.9+413206.0                   10.1739 41.535
[MJ2006] J041727.9-055036.9                   4.29108 -4.15639
[MJ2006] J214812.6+065736.5                   21.8035 6.96
[MJ2006] J020211.3-113529.4                   2.03647 -10.4086
[MJ2006] J002722.1+224150.8                   0.456139 22.6975
[MJ2006] J230432.8+030959.0                   23.0758 3.16639
[MJ2006] J225413.8+160853.4                   22.9038 16.1481
[MJ2006] J041725.7-055546.1                   4.29047 -4.07056
[MJ2006] J234652.9+093221.5                   23.7814 9.53944
[MJ2006] J234623.2+093224.3                   23.7731 9.54
[MJ2006] J041658.9-055125.1                   4.28303 -4.14306
[MJ2006] J234639.3+093345.8                   23.7776 9.56278
[MJ2006] J162038.3+173653.9                   16.344 17.615
[MJ2006] J012521.3-000448.9                   1.42258 0.0802778
[MJ2006] J234239.3-032349.1                   23.7109 -2.60306
[MJ2006] J225339.2+160957.3                   22.8942 16.1658
[MJ2006] J214816.1+065657.2                   21.8045 6.94917
[MJ2006] J101003.8+413130.5                   10.1677 41.5253
[MJ2006] J225409.2+160857.4                   22.9026 16.1492
[MJ2006] J092022.2+510227.1                   9.3395 51.0408
[MJ2006] J214818.3+065952.1                   21.8051 6.99778
[MJ2006] J002718.2+223909.4                   0.455056 22.6525
[MJ2006] J225403.4+160643.0                   22.9009 16.1119
[MJ2006] J011016.5-022137.2                   1.17125 -1.63972
[MJ2006] J230446.6+031119.3                   23.0796 3.18856
[MJ2006] J162017.9+173509.8                   16.3383 17.5861
[MJ2006] J011017.3-022100.9                   1.17147 -1.64972
[MJ2006] J234630.1+092753.1                   23.775 9.46472
[MJ2006] J214801.4+065658.8                   21.8004 6.94972
[MJ2006] J041712.5-055612.9                   4.28681 -4.06306
[PBC2006] GRB 050813 B*                       16.1325 11.2482
[MJ2006] J234620.1+092858.3                   23.7722 9.48278
[MJ2006] J162036.3+173449.4                   16.3434 17.5803
[MJ2006] J214814.6+065630.7                   21.8041 6.94194
[BSA2016] source                              1.0244 -32.2779
[MJ2006] J012519.9-000253.2                   1.42219 0.0480556
[MJ2006] J091930.5+510832.0                   9.32514 51.1422
[MJ2006] J002722.7+224122.5                   0.456306 22.6894
[MJ2006] J225354.3+160655.8                   22.8984 16.1156
[MJ2006] J020203.5-113505.6                   2.03431 -10.415
[MJ2006] J234643.3+093019.3                   23.7787 9.50528
[MJ2006] J162033.1+173655.5                   16.3425 17.6153
[MJ2006] J234247.0-032513.7                   23.7131 -2.57944
[HAL2011] NGC 6621 Middle                     18.2163 68.3541
[MJ2006] J214805.4+070029.5                   21.8015 7.00806
[MJ2006] J214805.1+065558.9                   21.8014 6.93306
[MJ2006] J162025.1+173549.4                   16.3403 17.5969
[MJ2006] J234309.7-031855.7                   23.7194 -2.68444
[MJ2006] J041709.8-055114.0                   4.28606 -4.14611
[MJ2006] J041717.6-055134.2                   4.28822 -4.14056
[MJ2006] J162015.3+173440.0                   16.3376 17.5778
[MJ2006] J041705.2-055318.1                   4.28478 -4.11167
[MJ2006] J092020.7+510816.8                   9.33908 51.1381
[MJ2006] J091934.2+510554.9                   9.32617 51.0986
[MJ2006] J234619.0+092755.9                   23.7719 9.46556
[RGG2003] new galaxy                          12.485 2.05167
[MJ2006] J171914.7+480239.4                   17.3208 48.0442
[MJ2006] J162004.6+173413.9                   16.3346 17.5706
[KHS2002] Inv                                 10.1236 -66.9517
[MJ2006] J091943.7+510333.5                   9.32881 51.0594
[MJ2006] J092026.1+510731.8                   9.34058 51.1256
[MJ2006] J234307.8-031938.8                   23.7188 -2.6725
[MJ2006] J214810.7+065601.1                   21.803 6.93361
[MJ2006] J234256.1-032452.8                   23.7156 -2.58528
[MJ2006] J002655.8+224102.3                   0.448833 22.6839
[MJ2006] J225359.8+160603.2                   22.8999 16.1008
[MJ2006] J162030.6+173339.1                   16.3418 17.5608
[MJ2006] J162012.5+173607.5                   16.3368 17.6022
[MJ2006] J010956.9-022052.5                   1.16581 -1.65194
[MJ2006] J101007.9+413128.2                   10.1689 41.5244
[MJ2006] J041712.5-055133.1                   4.28681 -4.14083
[MJ2006] J091948.4+510305.4                   9.33011 51.0514
[MJ2006] J101050.2+413106.2                   10.1806 41.5183
[MJ2006] J041707.4-055732.7                   4.28539 -4.04083
[MJ2006] J011030.4-021758.9                   1.17511 -1.70028
[MJ2006] J234646.9+093408.1                   23.7797 9.56889
[MJ2006] J171953.2+480332.0                   17.3314 48.0589
[MJ2006] J214747.9+065958.6                   21.7966 6.99972
[MJ2006] J002657.8+224130.6                   0.449389 22.6919
[MJ2006] J230445.9+031457.1                   23.0794 3.24917
[FBB2003] Spiral Galaxy                       16.1031 55.4492
[MJ2006] J225400.4+160906.4                   22.9001 16.1517
[MJ2006] J234646.1+093116.2                   23.7795 9.52111
[MJ2006] J214822.1+065715.4                   21.8061 6.95417
[MJ2006] J234242.9-031937.9                   23.7119 -2.67278
[MJ2006] J234645.7+092817.2                   23.7794 9.47139
[MJ2006] J230453.0+031136.0                   23.0814 3.19333
[MJ2006] J012529.0-000933.0                   1.42472 0.159167
[MJ2006] J234620.4+093050.4                   23.7723 9.51389
[MJ2006] J041708.1-055247.5                   4.28558 -4.12028
[MJ2006] J234240.0-032111.4                   23.7111 -2.64694
[MJ2006] J225347.1+161033.4                   22.8964 16.1758
[MJ2006] J020147.4-113215.4                   2.02983 -10.4625
[MJ2006] J002721.4+224319.3                   0.455944 22.7219
[MJ2006] J225353.9+160858.0                   22.8983 16.1494
[MJ2006] J171958.5+480534.2                   17.3329 48.0928
[MJ2006] J214747.2+065653.4                   21.7964 6.94806
[MSG2014] Lensed G                            22.8123 -43.4692
[MJ2006] J230501.8+031130.8                   23.0838 3.19194
[MJ2006] J171918.9+480512.7                   17.3219 48.0869
[MJ2006] J041729.9-055131.6                   4.29164 -4.14111
[MJ2006] J162008.0+173347.0                   16.3356 17.5631
[MJ2006] J041733.4-055121.5                   4.29261 -4.14417
MCBA  0                                       13.212 42.7435
[MJ2006] J012515.7-000408.1                   1.42103 0.0688889
[MJ2006] J214755.5+065611.4                   21.7987 6.93639
[DFP2009] GRB 080330 Host G                   11.2846 30.6233
[MJ2006] J230443.7+030916.4                   23.0788 3.15444
[MJ2006] J234642.6+092905.9                   23.7785 9.485
[MJ2006] J012542.6-000848.0                   1.4285 0.146667
[ZGL2010] SDSS J1007+2853G                    10.1205 28.8968
[MJ2006] J020159.7-112950.8                   2.03325 -10.5025
[MJ2006] J011001.8-021653.4                   1.16717 -1.71861
[MJ2006] J214809.1+065729.3                   21.8025 6.95806
[MJ2006] J101022.0+412954.3                   10.1728 41.4983
[MJ2006] J012532.9-000517.6                   1.42583 0.0883333
[MJ2006] J002707.8+223921.6                   0.452167 22.6561
[BLD2000] A105S                               11.1871 28.6889
[HLT99] Ring G                                17.0167 51.7
[CSB2000] UN J1025-0040 C                     10.4169 0.680278
[CSH96] SSA 13   0                            13.2088 42.7295
LCG SSA 13-00                                 13.2045 42.744
LDSS 00.2.01                                  0.959556 -26.5493
LDSS 00.2.03                                  0.955875 -26.605
LDSS 00.2.04                                  0.959644 -26.5815
LDSS 00.2.05                                  0.956078 -26.5947
LDSS 00.2.08                                  0.956697 -26.476
LDSS 00.2.12                                  0.957072 -26.5901
LDSS 00.2.14                                  0.957281 -26.4417
LDSS 00.2.17                                  0.953833 -26.61
LDSS 00.2.18                                  0.954408 -26.4626
LDSS 00.2.20                                  0.958311 -26.4797
LDSS 00.2.23                                  0.955453 -26.4714
LDSS 00.2.24                                  0.954092 -26.509
LDSS 00.2.27                                  0.955331 -26.4684
LDSS 00.2.29                                  0.958511 -26.5383
LDSS 00.2.31                                  0.953406 -26.6013
LDSS 00.2.32                                  0.949717 -26.5011
LDSS 00.2.33                                  0.954528 -26.4557
LDSS 00.2.35                                  0.956072 -26.6292
LDSS 00.2.36                                  0.951108 -26.4585
LDSS 00.2.38                                  0.947797 -26.4355
LDSS 00.2.39                                  0.954861 -26.5982
LDSS 00.2.43                                  0.952642 -26.4448
LDSS 00.2.44                                  0.954239 -26.4656
LDSS 00.2.45                                  0.957386 -26.4932
LDSS 00.2.46                                  0.95465 -26.4833
LDSS 00.2.48                                  0.955625 -26.5055
LDSS 00.2.49                                  0.954756 -26.6219
HS 0000+2422                                  0.0833786 22.1322
KUG 0000+348                                  0.0576139 35.1586
SAS-LBG Q0000-C1                              0.0547583 -25.8991
SAS-LBG Q0000-C2                              0.0584389 -25.9035
SAS-LBG Q0000-C4                              0.056075 -25.9056
SAS-LBG Q0000-C6                              0.0558667 -25.9285
SAS-LBG Q0000-C8                              0.055625 -25.9398
SAS-LBG Q0000-C9                              0.0573139 -25.942
SAS-LBG Q0000-C10                             0.0564722 -25.9521
SAS-LBG Q0000-C12                             0.0575861 -25.959
SAS-LBG Q0000-C13                             0.0570556 -25.9763
SAS-LBG Q0000-D1                              0.0569917 -25.9236
SAS-LBG Q0000-D2                              0.0586167 -25.9247
SAS-LBG Q0000-D3                              0.0547861 -25.9322
SAS-LBG Q0000-D4                              0.055825 -25.9396
SAS-LBG Q0000-D5                              0.0579194 -25.9421
SAS-LBG Q0000-D6                              0.0566083 -25.9532
SAS-LBG Q0000-D8                              0.0590139 -25.9702
SAS-LBG Q0000-M1                              0.0555111 -25.9772
SAS-LBG Q0000-MD1                             0.0568472 -25.9031
SAS-LBG Q0000-MD2                             0.0569778 -25.9187
SAS-LBG Q0000-MD3                             0.0551306 -25.9236
SAS-LBG Q0000-MD4                             0.0554722 -25.926
SAS-LBG Q0000-MD5                             0.0572 -25.9611
SAS-LBG Q0000-MD6                             0.0558944 -25.9701
SAS-LBG Q0000-MD7                             0.0559028 -25.9759
AM 0000-803                                   0.0456111 -79.6536
[DD2013] W4+0+0  16623                        22.2152 0.914186
[VRH99] GRB 991216 abs 1.02                   5.15869 11.2854
[DD2013] W4+0+0  27440                        22.242 0.950017
[DD2013] W4+0+0  30692                        22.2371 0.965839
[RVJ2003] GRB 030328 abs 1.29                 12.1801 -8.6525
[MGS2003] GRB 030328 abs 1.52                 12.1801 -8.6525
[DD2013] W4+0+0  39432                        22.2391 1.01863
[DD2013] W4+0+0  40959                        22.2499 1.01955
[DD2013] W4+0+0  44559                        22.2514 1.03291
[FJH2005] GRB 050401 abs 2.90                 16.5247 2.18728
Dwingeloo 030.1-04.3                          19.03 -3.5
Dwingeloo 030.6-02.4                          18.9767 -2.86667
[DD2013] W4+0+0  78971                        22.1999 1.20123
[SB2002] G031-33-330                          20.7925 -15.6567
[F2005] GRB 050319 abs 3.24                   10.28 43.5486
[SB2002] G039-27-310                          20.6053 -6.81167
[SB2002] G040-31-272                          20.8894 -7.575
[SB2002] G043-13-314                          19.9322 2.73
[SB2002] G043-31-236                          20.9775 -4.31667
Dwingeloo 044.8-00.5                          19.2492 10.2967
[SB2002] G046-25-235                          20.6839 -0.72
[SB2002] G046+44+201                          16.3417 26.9
[SB2002] G050+81-442                          13.4919 29.2167
[SB2002] G068+24-269                          18.2381 40.8883
[DD2013] W4+0+0 175650                        22.2329 1.6455
[SB2002] G070+51-146                          15.8153 43.83
[SB2002] G072-16-395                          21.1675 24.0217
[DD2013] W4+0+0 188362                        22.2158 1.707
[SB2002] G079-37+213                          22.5436 13.1783
[SB2002] G079-37+235                          22.5436 13.1783
[SB2002] G079-37+252                          22.5436 13.1783
[SB2002] G080+22-205                          18.7464 50.5333
[SB2002] G080-42-329                          22.7747 10.1633
[SB2002] G080-66-226                          23.7486 9.265
[SB2002] G083-49-307                          23.1564 5.45333
[SB2002] G083-50-325                          23.19 5.28667
[WFH2003] GRB 030429 abs 0.841                12.2183 -19.0833
[SB2002] G089-65-312                          23.9264 -5.925
Dwingeloo 092.8+00.5                          21.3917 50.9333
[SB2002] G093-52-312                          23.6492 6.155
[SB2002] G093-52-266                          23.6492 6.155
[SB2002] G093-55-276                          23.7172 4.47
[SB2002] G096-58-273                          23.905 2.61167
[SB2002] G097-53-384                          23.8097 7.12833
[SB2002] G097-54-363                          23.8511 5.905
[TSW99]    1.000                              12.6113 62.2026
[SB2002] G100-49-395                          23.8386 10.81
[SB2002] G114-11-441                          23.8244 50.9533
[BSC2003] GRB 020813 abs 1.255                19.7783 -18.3987
[SB2002] G143+65+285                          12.0122 50.105
[SB2002] G158-39-285                          2.69472 16.2883
[SB2002] G158-39-280                          2.67861 16.525
[SB2002] G159+32+268                          8.05361 58.425
[SB2002] G162+14-382                          6.045 51.4317
[SB2002] G169-40-235                          3.12944 10.4167
[SB2002] G169-43-259                          3.02722 8.24833
[VMF2008] GRB 080928 abs 1.692                6.33806 -54.8003
[SB2002] G189-25-203                          4.42611 13.445
[SB2002] G189-32+248                          4.27306 3.79167
[TSW99]    2.000                              12.6114 62.203
[SB2002] G237+51+120                          10.5064 7.785
GLXY G244.2-01.8+475                          7.77167 -27.5333
[SB2002] G261+49+160                          11.1211 -3.08833
[PBW2005] GRB 050820 abs 2.612                22.4939 19.5597
[BBS2004] BG 0.2708                           0.590028 0.4
[TSW99]    3.000                              12.6114 62.2039
[LVS2006] GRB 060607 abs 3.082                5.99775 75.2489
GLXY G312.5+22.1+492                          13.625 -38.1167
[HMG2003] GRB 020124 abs 3.198                9.54694 -10.54
GLXY G326.5-14.6+460                          17.1917 -63.2833
[BBS2004] BG 0.3300                           13.01 65.3764
[FFP2005] GRB 050908 abs 3.350                1.36407 -11.0447
[VWR2003] GRB 030323 abs 3.372                11.1026 -20.2297
[SB2002] G347+46+259                          14.8322 -5.29333
[SB2002] G347+46-215                          14.8322 -5.29333
[BBS2004] BG 0.3556                           14.1528 61.0864
[BBS2004] BG 0.3776                           17.1654 58.3967
[BBS2004] BG 0.3809                           8.09228 30.62
[BBS2004] BG 0.3964                           21.574 10.7203
[SVE2005] GRB 050730 abs 3.968                14.1381 -2.22839
[TSW99]    4.000                              12.6114 62.2021
3C 400.1                                      19.4102 35.3525
3C 403.1                                      19.8757 -0.707167
[BBS2004] BG 0.4317                           15.6803 0.561667
[BBS2004] BG 0.4404                           14.7029 0.465
[BBS2004] BG 0.4446                           12.6477 67.1578
[BBS2004] BG 0.4538                           9.48258 44.0164
[BBS2004] BG 0.4635                           20.8729 0.0197222
[BBS2004] BG 0.4646                           11.6082 -1.61583
[BBS2004] BG 0.4722                           13.1038 6.00614
SDSSCGA 478.4                                 21.7386 -6.8067
[BBS2004] BG 0.4797                           10.181 6.07556
[MNC2008] S483                                0.553117 -42.0799
SDSSCGA 489.3                                 11.4927 34.1844
[TSW99]    5.000                              12.6114 62.2029
[BBS2004] BG 0.5011                           1.18983 0.00333333
[BBS2004] BG 0.5388                           15.8419 52.2847
[BBS2004] BG 0.5435                           11.8519 64.9278
[BBS2004] BG 0.5466                           11.4771 58.5906
[BBS2004] BG 0.5672                           8.84408 2.03194
[BBS2004] BG 0.5809                           11.0173 7.60611
[BBS2004] BG 0.5952                           0.408861 0.523056
[TSW99]    6.000                              12.6115 62.202
[BBS2004] BG 0.6029                           21.7964 0.540833
[BBS2004] BG 0.6238                           22.8572 -8.55694
[BBS2004] BG 0.6240                           3.41514 -0.825278
[BBS2004] BG 0.6306                           21.6224 -7.86417
SDSSCGA 639.4                                 11.3236 54.3637
[BBS2004] BG 0.6435                           8.22314 45.3025
[BBS2004] BG 0.6672                           20.7138 -5.55806
SDSSCGA 682.4                                 22.1311 -7.69736
[MPP2003] GRB 020405 abs 0.6908               13.9675 -30.6265
SDSSCGA 695.4                                 14.4159 37.146
[TSW99]    7.000                              12.6115 62.2043
SDSSCGA 750.1                                 15.1651 10.2497
SDSSCGA 786.1                                 12.6503 6.22938
[TSW99]    8.000                              12.6115 62.2041
SDSSCGA 802.2                                 13.3042 33.2834
SDSSCGA 808.2                                 9.88086 22.5182
SDSSCGA 810.4                                 12.1467 41.3458
SDSSCGA 833.3                                 13.0224 39.9167
SDSSCGA 862.2                                 22.7477 0.677228
SDSSCGA 866.5                                 8.9797 3.721
[TSW99]    9.000                              12.6115 62.2044
SDSSCGA 913.4                                 9.36361 15.6549
SDSSCGA 930.2                                 10.8196 24.5702
SDSSCGA 947.3                                 11.5512 23.631
SDSSCGA 995.3                                 14.5686 7.5366
[TSW99]   10.000                              12.6115 62.2019
[HKS2013] ALESS 101.1                         3.53101 -26.2355
SDSSCGA 1036.2                                14.9446 61.8471
SDSSCGA 1054.1                                12.5199 9.89115
SDSSCGA 1054.3                                12.5188 9.88217
SDSSCGA 1084.4                                15.445 26.2476
SDSSCGA 1097.3                                8.49608 47.9344
[MNC2008] S1110                               0.55175 -42.8251
SDSSCGA 1125.3                                21.9449 -7.33026
SDSSCGA 1148.5                                8.34994 1.8713
[MNC2008] S1189                               0.574317 -42.9604
[MNC2008] S1192                               0.555747 -42.9656
[TSW99]   12.000                              12.6115 62.2018
SDSSCGA 1215.4                                9.74365 4.90509
SDSSCGA 1254.3                                11.1992 33.8466
SDSSCGA 1271.3                                10.4691 54.3159
SDSSCGA 1285.1                                12.3631 55.8215
[TSW99]   13.000                              12.6115 62.2039
SDSSCGA 1316.1                                12.5607 0.333033
SDSSCGA 1378.2                                13.3304 7.02135
SDSSCGA 1385.6                                12.0369 59.1396
[GSD2013b] 1411.3                             14.8125 8.89626
SDSSCGA 1439.4                                13.744 3.29673
SDSSCGA 1497.3                                21.2236 11.6482
SDSSCGA 1501.4                                11.4773 19.3188
SDSSCGA 1516.3                                17.0966 59.2691
SDSSCGA 1614.2                                15.7889 13.0198
SDSSCGA 1625.1                                16.0034 33.2691
SDSSCGA 1636.2                                13.6432 63.333
SDSSCGA 1656.3                                11.5832 19.4587
SDSSCGA 1670.2                                15.8504 45.4191
SDSSCGA 1696.3                                8.88979 31.6277
SDSSCGA 1696.4                                8.89009 31.6356
[TSW99]   17.000                              12.6116 62.2047
SDSSCGA 1701.3                                12.2622 2.09079
SDSSCGA 1728.4                                10.8949 24.5827
SDSSCGA 1742.2                                16.9478 36.2049
SDSSCGA 1770.3                                10.8885 40.3944
SDSSCGA 1816.3                                12.7064 38.8905
SDSSCGA 1853.2                                16.2046 31.0343
[TSW99]   19.000                              12.6116 62.2014
SDSSCGA 1914.4                                13.2432 8.46095
SDSSCGA 1973.2                                14.7963 30.0501
SDSSCGA 1984.2                                16.073 27.4345
[TSW99]   20.000                              12.6116 62.2013
SDSSCGA 2012.4                                11.295 44.8497
SDSSCGA 2027.5                                11.5848 57.7335
[CDK2000] GRB 000926 abs 2.0369               17.0694 51.7864
SDSSCGA 2046.2                                16.4528 13.061
SDSSCGA 2049.2                                12.6846 14.5523
SDSSCGA 2069.3                                10.8272 22.5397
SDSSCGA 2098.3                                10.0845 14.0741
SDSSCGA 2099.3                                10.6609 39.4714
[TSW99]   21.000                              12.6116 62.2045
SDSSCGA 2115.4                                10.3649 14.0983
SDSSCGA 2145.4                                10.4612 14.4723
SDSSCGA 2163.2                                17.2645 30.2827
SDSSCGA 2171.4                                15.176 4.0007
[BAL2007] uc218.7                             3.63984 -34.3352
[PWF2008] GRB 050922C abs 2.1992              21.1592 -7.24172
[TSW99]   22.000                              12.6116 62.2015
SDSSCGA 2217.4                                12.1897 7.12639
SDSSCGA 2251.3                                14.445 64.9982
SDSSCGA 2256.2                                10.7998 15.2647
SDSSCGA 2276.1                                3.95295 0.690547
[TSW99]   23.000                              12.6116 62.2053
[TSW99]   24.000                              12.6116 62.2052
[TSW99]   25.000                              12.6117 62.206
[TSW99]   26.000                              12.6116 62.2015
[TSW99]   26.100                              12.6116 62.2015
[TSW99]   26.110                              12.6116 62.2015
[TSW99]   26.200                              12.6117 62.2009
[TSW99]   27.000                              12.6117 62.2064
[TSW99]   28.000                              12.6117 62.2069
[TSW99]   29.000                              12.6118 62.2004
[TSW99]   30.000                              12.6118 62.2054
[TSW99]   32.000                              12.6118 62.2038
[BAL2007] uc329.7                             3.60771 -34.7628
[TSW99]   33.000                              12.6118 62.2003
[TSW99]   35.000                              12.6118 62.2032
[TSW99]   36.000                              12.6118 62.207
[TSW99]   37.000                              12.6119 62.2011
[TSW99]   38.000                              12.6118 62.2058
[TSW99]   39.000                              12.6119 62.205
[TSW99]   40.000                              12.6119 62.2056
[TSW99]   41.000                              12.6119 62.2057
[BAL2007] uc411.2                             3.69246 -34.8063
[TSW99]   42.000                              12.6119 62.2003
[BPC2006] GRB 050505 abs 4.2748               9.45089 30.273
[TSW99]   43.000                              12.6119 62.2011
[TSW99]   44.000                              12.6119 62.2084
[TSW99]   45.000                              12.6119 62.2
[TSW99]   46.000                              12.6119 62.201
[BAL2007] uc464.5                             3.6621 -34.5501
[TSW99]   47.100                              12.6119 62.2077
[TSW99]   48.000                              12.6119 62.2064
[PVK2003] 000.04996 +01.12175                 0.00333056 1.12175
[TSW99]   50.000                              12.6119 62.2056
[TSW99]   51.000                              12.6119 62.2032
[TSW99]   53.000                              12.612 62.2086
[TSW99]   54.000                              12.612 62.202
[PVK2003] 000.05498 +14.59171                 0.00366667 14.5917
[TSW99]   56.000                              12.612 62.2086
[TSW99]   57.000                              12.612 62.2079
[TSW99]   58.000                              12.612 62.2002
[TSW99]   59.000                              12.612 62.2053
[TSW99]   60.000                              12.612 62.2075
[TSW99]   61.000                              12.612 62.2051
[TSW99]   62.000                              12.612 62.2093
[TSW99]   63.000                              12.612 62.2044
[TSW99]   64.000                              12.6121 62.2003
[TSW99]   65.000                              12.6121 62.2078
[DD2013] W4+0+1   1778                        22.2163 1.77009
[DD2013] W4+0+1   8934                        22.2121 1.79981
[DD2013] W4+0+1 118298                        22.2303 2.3136
[TSW99]   66.000                              12.6121 62.2077
[DD2013] W4+0+1 169392                        22.25 2.55481
[DD2013] W4+0+1 208848                        22.2477 2.73556
SDSSCGB 677.3                                 12.0097 20.0752
[TSW99]   70.000                              12.6121 62.1992
[TSW99]   71.000                              12.6121 62.2043
[TSW99]   72.000                              12.6121 62.203
[TSW99]   73.000                              12.6121 62.2088
[TSW99]   74.000                              12.6122 62.207
[TSW99]   75.000                              12.6122 62.2089
[TSW99]   76.000                              12.6122 62.2062
[TSW99]   77.000                              12.6122 62.2083
[TSW99]   78.000                              12.6122 62.207
[TSW99]   79.000                              12.6122 62.2006
[TSW99]   80.000                              12.6122 62.2101
[TSW99]   81.000                              12.6122 62.2026
[TSW99]   81.100                              12.6122 62.2026
[TSW99]   82.000                              12.6122 62.2075
[TSW99]   83.000                              12.6122 62.2064
[TSW99]   84.000                              12.6122 62.2034
[TSW99]   85.000                              12.6122 62.2065
[TSW99]   86.000                              12.6122 62.2065
[TSW99]   89.000                              12.6123 62.2056
[TSW99]   90.000                              12.6123 62.2009
[TSW99]   91.000                              12.6123 62.2039
[TSW99]   92.000                              12.6123 62.2048
[TSW99]   93.000                              12.6124 62.2073
[TSW99]   94.000                              12.6124 62.1981
[TSW99]   95.000                              12.6124 62.2085
[TSW99]   96.000                              12.6124 62.2101
[TSW99]   97.000                              12.6124 62.2043
[TSW99]   98.000                              12.6124 62.2027
[TSW99]   99.000                              12.6124 62.2098
[TSW99]  101.000                              12.6124 62.1969
[TSW99]  104.000                              12.6124 62.2095
[TSW99]  105.000                              12.6124 62.2121
[TSW99]  106.000                              12.6124 62.1981
[TSW99]  108.000                              12.6124 62.2067
[TSW99]  110.000                              12.6124 62.1985
[TSW99]  111.000                              12.6124 62.1987
[TSW99]  113.000                              12.6124 62.2119
[TSW99]  115.000                              12.6124 62.2081
[TSW99]  117.000                              12.6125 62.2054
[TSW99]  118.000                              12.6125 62.1973
[TSW99]  119.000                              12.6125 62.2118
[TSW99]  120.000                              12.6125 62.2074
[TSW99]  121.000                              12.6125 62.2123
[TSW99]  122.000                              12.6125 62.2061
[TSW99]  123.000                              12.6125 62.1969
[TSW99]  125.000                              12.6125 62.1971
[TSW99]  126.000                              12.6125 62.2008
[TSW99]  127.000                              12.6125 62.1995
[TSW99]  129.000                              12.6125 62.2103
[TSW99]  130.000                              12.6125 62.1973
[TSW99]  132.000                              12.6125 62.2014
[TSW99]  133.000                              12.6125 62.2124
[TSW99]  134.000                              12.6126 62.2034
[PVK2003] 000.13499 +14.58184                 0.009 14.5818
[TSW99]  135.000                              12.6126 62.2071
[TSW99]  136.000                              12.6126 62.1959
[TSW99]  137.000                              12.6126 62.2107
[TSW99]  138.000                              12.6126 62.201
[TSW99]  139.000                              12.6126 62.2074
[TSW99]  140.000                              12.6126 62.2094
[TSW99]  141.000                              12.6126 62.1983
[TSW99]  141.100                              12.6126 62.1983
[TSW99]  141.110                              12.6126 62.1983
[TSW99]  141.120                              12.6125 62.1984
[TSW99]  142.000                              12.6126 62.2086
[TSW99]  143.000                              12.6126 62.2072
[TSW99]  144.000                              12.6126 62.2005
[TSW99]  146.000                              12.6126 62.2022
[TSW99]  147.000                              12.6126 62.2079
[TSW99]  148.000                              12.6126 62.1969
[TSW99]  149.000                              12.6126 62.211
[TSW99]  150.000                              12.6126 62.2006
[TSW99]  151.000                              12.6126 62.1954
[TSW99]  152.000                              12.6126 62.2097
[TSW99]  153.000                              12.6126 62.2046
[TSW99]  154.000                              12.6126 62.2006
[PBF2006c] GRB 051111 abs 1.54948             23.2092 18.3747
[TSW99]  155.000                              12.6126 62.2096
[TSW99]  156.000                              12.6126 62.2116
[TSW99]  157.000                              12.6126 62.211
[TSW99]  158.000                              12.6127 62.2102
[TSW99]  159.000                              12.6127 62.2093
[TSW99]  160.000                              12.6127 62.2101
[TSW99]  161.000                              12.6127 62.2112
[TSW99]  162.000                              12.6127 62.1956
[TSW99]  163.000                              12.6127 62.2069
[TSW99]  164.000                              12.6127 62.2114
[TSW99]  165.000                              12.6127 62.1953
[TSW99]  166.000                              12.6127 62.2117
[TSW99]  168.000                              12.6127 62.1956
[TSW99]  169.000                              12.6127 62.2073
[TSW99]  170.000                              12.6127 62.2076
[TSW99]  171.000                              12.6127 62.21
